i	pair1_age_i1	pair1_gender_i1	pair1_education_i1	pair1_employment_i1	pair1_task1_i1	pair1_task2_i1	pair1_question	pair1_answer_i1	pair1_age_i2	pair1_gender_i2	pair1_education_i2	pair1_employment_i2	pair1_task1_i2	pair1_task2_i2	pair1_answer_i2	pair2_age_i1	pair2_gender_i1	pair2_education_i1	pair2_employment_i1	pair2_task1_i1	pair2_task2_i1	pair2_question	pair2_answer_i1	pair2_age_i2	pair2_gender_i2	pair2_education_i2	pair2_employment_i2	pair2_task1_i2	pair2_task2_i2	pair2_answer_i2
1	61	Female	Some college	Employed full/part time	2	2	"If you were a tree, what kind of tree would you be and why?"	A mango tree because it grow wide and sprang up	49	Female	College graduate	Employed full/part time	3	3	"I would be a poplar tree. They are very bendable and survive storms, and sometimes they bloom."	33	Female	Master's degree	Employed full/part time	10	9	What do you think of garden gnomes?	"I like garden gnomes. They are colorful, whimsical and can serve as a focal point in the garden."	29	Male	College graduate	Employed full/part time	7	12	They''re annoying.
2	41	Male	College graduate	Employed full/part time	11	11	"If you could compare yourself with any animal, which would it be and why?"	I would be a turtle. Slow and steady plus long living	53	Male	Master's degree	Unemployed	8	8	I'd like to be compared to a dog -- man's best friend.	33	Female	Master's degree	Employed full/part time	10	9	What do you think of garden gnomes?	"I like garden gnomes. They are colorful, whimsical and can serve as a focal point in the garden."	29	Male	College graduate	Employed full/part time	7	12	They''re annoying.
3	51	Female	College graduate	Employed full/part time	10	8	"If you could compare yourself with any animal, which would it be and why?"	I would say a dog because I'm fairly loyal to my family and friends.	59	Male	Some college	Employed full/part time	8	7	I would say a squirrel.  I can't really say why except for the fact that I admire the way they always seem to be having fun if that's possible for a small animal and I love to have a good time.	43	Male	Some college	Self-employed	4	4	What do you think of garden gnomes?	I like the fact it's like the middle finger to housing authorities. 	30	Female	College graduate	Employed full/part time	7	6	They are decorative and can add some real good touch to lawns. They are very beautiful and cute.
4	42	Female	Master's degree	Employed full/part time	8	13	You've been given an elephant. You can't give it away or sell it. What would you do with the elephant?	"I would keep it as a pet and take very good care of it. They are such beautiful and intelligent creatures, it would be incredibly neat to be honored with one. "	31	Male	College graduate	Employed full/part time	6	10	I would find somewhere large enough to keep it and make sure it has access to food and water.	43	Male	Some college	Self-employed	4	4	What do you think of garden gnomes?	I like the fact it's like the middle finger to housing authorities. 	30	Female	College graduate	Employed full/part time	7	6	They are decorative and can add some real good touch to lawns. They are very beautiful and cute.
5	43	Male	Some college	Self-employed	4	4	"If you were a tree, what kind of tree would you be and why?"	I would be a willow tree because they can grow anywhere there is water.	45	Female	Some college	Employed full/part time	3	6	"I would be a pine tree. They are refreshing, tall, majestic, and familiar. I like pine trees because they remind me of my childhood and how I used to play in the wooded area next to my house."	31	Male	College graduate	Employed full/part time	6	10	What do you think of garden gnomes?	I think they are fun and a bit scary looking at the same time.	36	Male	College graduate	Employed full/part time	8	8	"It''s fine for some people. Not really my style, but if you like it, that''s cool."
6	37	Male	High school or equivalent	Employed full/part time	6	4	You've been given an elephant. You can't give it away or sell it. What would you do with the elephant?	I would ride the elephant around the park.	66	Female	College graduate	Employed full/part time	8	6	I would somehow pay to have it shipped to Africa and freed. If that's not allowed I would try to give it the best life possible and make sure it was fed and had some intellectual stimulation. 	31	Male	College graduate	Employed full/part time	6	10	What do you think of garden gnomes?	I think they are fun and a bit scary looking at the same time.	36	Male	College graduate	Employed full/part time	8	8	"It''s fine for some people. Not really my style, but if you like it, that''s cool."
7	71	Female	Master's degree	Retired	6	9	"If you had to be shipwrecked on a deserted island, but all your human needs - such as food and water - were taken care of, what two items would you want to have with you?"	A kindle with unlimited supply of books.	36	Male	College graduate	Employed full/part time	8	8	"A survival knife and a woman. I don't really need much else. If I can't have a woman with me, I'd just want high quality toilet paper. The knife can be used to make whatever other tools I might need like fishing rods, fire starters, whatever. I'd just want someone to talk to so I don't go nuts!"	29	Female	College graduate	Employed full/part time	12	17	What do you think of garden gnomes?	I think they can be a fun lawn decoration.	34	Male	College graduate	Employed full/part time	11	14	Garden gnomes seem less common than I remember from a young age. They can look tacky in most yards.
8	56	Female	Some college	Employed full/part time	9	7	You've been given an elephant. You can't give it away or sell it. What would you do with the elephant?	That is a good question. The only thing I could do is put it in the backyard and take care of it. I could always give the neighbor kids rides on the elephant for fun.	53	Male	Master's degree	Unemployed	8	8	I understand the elephant meat is tasty so I kill it and feast.	29	Female	College graduate	Employed full/part time	12	17	What do you think of garden gnomes?	I think they can be a fun lawn decoration.	34	Male	College graduate	Employed full/part time	11	14	Garden gnomes seem less common than I remember from a young age. They can look tacky in most yards.
9	26	Male	College graduate	Employed full/part time	9	7	"If you had to be shipwrecked on a deserted island, but all your human needs - such as food and water - were taken care of, what two items would you want to have with you?"	My guitar and a photo album of my friends and family. 	51	Female	College graduate	Employed full/part time	10	8	A wifi router and my laptop.	33	Female	College graduate	Employed full/part time	5	4	What do you think of garden gnomes?	I like they very much.	28	Male	College graduate	Employed full/part time	6	7	i think they are a nuisance 
10	56	Female	Some college	Employed full/part time	9	7	You've been given an elephant. You can't give it away or sell it. What would you do with the elephant?	That is a good question. The only thing I could do is put it in the backyard and take care of it. I could always give the neighbor kids rides on the elephant for fun.	53	Male	Master's degree	Unemployed	8	8	I understand the elephant meat is tasty so I kill it and feast.	33	Female	College graduate	Employed full/part time	5	4	What do you think of garden gnomes?	I like they very much.	28	Male	College graduate	Employed full/part time	6	7	i think they are a nuisance 
